'may 20 2034', '2034-05-20'
'10 may 2028', '2028-05-10'
'sunday 8 september 1991', '1991-09-08'
'may 24 2063', '2063-05-24'
'september 5 1669', '1669-09-05'
'april 23 1782', '1782-04-23'
'march 15 1978', '1978-03-15'
'13/01/1681', '1681-01-13'
'11 august 1975', '1975-08-11'
'sunday november 24 1929', '1929-11-24'
'6/12/93', '1593-06-12'
'july 27 1766', '1766-07-27'
'5/25/67', '1567-05-25'
'jul 9 1603', '1603-07-09'
'1736 25 jun', '1736-06-25'
'1781 1 january', '1781-01-01'
'1743 9 november', '1743-11-09'
'thu 1643 12 march', '1643-03-12'
'thursday 2037 12 11', '2037-11-12'
'apr 23 1571', '1571-04-23'
'24 jul 1846', '1846-07-24'
'sunday july 14 1743', '1743-07-14'
'19 january 1934', '1934-01-19'
'8 june 1556', '1556-06-08'
'sat 25 apr 1761', '1761-04-25'
'friday april 26 1822', '1822-04-26'
'nov 26 1675', '1675-11-26'
'25 september 1613', '1613-09-25'
'april 2 1792', '1792-04-02'
'december 28 1626', '1626-12-28'
'17 jun 1935', '1935-06-17'
'nov 6 1581', '1581-11-06'
'saturday november 11 2028', '2028-11-11'
'tue 20 aug 1686', '1686-08-20'
'1700 16 may', '1700-05-16'
'friday march 4 2033', '2033-03-04'
'march 10 1794', '1794-03-10'
'sun 16 nov 1828', '1828-11-16'
'monday 6 july 1716', '1716-07-06'
'12 october 1789', '1789-10-12'
'monday january 7 2008', '2008-01-07'
'jan 29 1854', '1854-01-29'
'13 feb 1863', '1863-02-13'
'thu 1999 28 january', '1999-01-28'
'sun 1749 26 january', '1749-01-26'
'october 7 1596', '1596-10-07'
'aug 4 1607', '1607-08-04'
'tue 11 dec 1618', '1618-12-11'
'6 june 1591', '1591-06-06'
'30 march 1578', '1578-03-30'
'29 march 1571', '1571-03-29'
'apr 14 1826', '1826-04-14'
'1637 21 jan', '1637-01-21'
'4 september 1844', '1844-09-04'
'18 february 1852', '1852-02-18'
'mar 19 1541', '1541-03-19'
'apr 13 1558', '1558-04-13'
'aug 4 1570', '1570-08-04'
'tue 1622 21 june', '1622-06-21'
'october 15 1883', '1883-10-15'
'thursday april 3 1845', '1845-04-03'
'saturday february 28 1920', '1920-02-28'
'fri 6 sep 1602', '1602-09-06'
'sun 1929 31 march', '1929-03-31'
'december 9 1528', '1528-12-09'
'sun 14 aug 1887', '1887-08-14'
'april 4 1524', '1524-04-04'
'thursday september 17 1716', '1716-09-17'
'saturday september 7 1793', '1793-09-07'
'mar 10 2025', '2025-03-10'
'20 june 1882', '1882-06-20'
'1562 8 jan', '1562-01-08'
'6/15/34', '1534-06-15'
'april 11 1522', '1522-04-11'
'19 apr 1925', '1925-04-19'
'march 19 2019', '2019-03-19'
'5/31/58', '1958-05-31'
'august 30 1602', '1602-08-30'
'fri 30 apr 1875', '1875-04-30'
'tuesday july 9 1776', '1776-07-09'
'21 february 1969', '1969-02-21'
'mar 4 1869', '1869-03-04'
'july 24 1823', '1823-07-24'
'jul 30 1627', '1627-07-30'
'monday april 14 2036', '2036-04-14'
'june 28 1805', '1805-06-28'
'apr 25 1986', '1986-04-25'
'sep 14 1867', '1867-09-14'
'monday august 25 1580', '1580-08-25'
'sat 1913 22 november', '1913-11-22'
'2055 27 jul', '2055-07-27'
'18 april 1793', '1793-04-18'
'march 28 1853', '1853-03-28'
'june 3 1676', '1676-06-03'
'13 september 1855', '1855-09-13'
'8 june 1835', '1835-06-08'
'jun 6 1644', '1644-06-06'
'mar 9 2034', '2034-03-09'
'august 24 1733', '1733-08-24'
'november 13 1737', '1737-11-13'
'sep 30 1614', '1614-09-30'
'may 7 1995', '1995-05-07'
'14 june 1678', '1678-06-14'
'jun 20 1935', '1935-06-20'
'thu 29 dec 1611', '1611-12-29'
'september 2 1849', '1849-09-02'
'wed 9 sep 1992', '1992-09-09'
'11 mar 1848', '1848-03-11'
'february 10 1978', '1978-02-10'
'2/6/16', '1616-02-06'
'thursday august 5 1604', '1604-08-05'
'wednesday february 5 1676', '1676-02-05'
'thursday 27 july 1600', '1600-07-27'
'december 7 1624', '1624-12-07'
'1614 10 september', '1614-09-10'
'12 july 1794', '1794-07-12'
'11 may 1855', '1855-05-11'
'july 24 1891', '1891-07-24'
'25/05/1613', '1613-05-25'
'29 february 1868', '1868-02-29'
'july 2 1838', '1838-07-02'
'9 aug 1546', '1546-08-09'
'13 april 1674', '1674-04-13'
'thursday 1995 2 02', '1995-02-02'
'2067 23 february', '2067-02-23'
'23 january 1826', '1826-01-23'
'22 july 1940', '1940-07-22'
'may 27 1725', '1725-05-27'
'march 18 1782', '1782-03-18'
'1689 29 mar', '1689-03-29'
'august 12 1757', '1757-08-12'
'thursday may 29 1704', '1704-05-29'
'16 june 1755', '1755-06-16'
'february 18 1755', '1755-02-18'
'july 28 1809', '1809-07-28'
'friday october 5 1590', '1590-10-05'
'12 march 1933', '1933-03-12'
'9 february 1953', '1953-02-09'
'december 29 1796', '1796-12-29'
'thursday 23 december 1751', '1751-12-23'
'tuesday april 12 1791', '1791-04-12'
'june 9 1873', '1873-06-09'
'14 aug 1876', '1876-08-14'
'march 28 1847', '1847-03-28'
'20 may 1616', '1616-05-20'
'thu 1986 1 may', '1986-05-01'
'1849 7 july', '1849-07-07'
'tuesday may 20 1873', '1873-05-20'
'thursday 8 july 1638', '1638-07-08'
'february 21 1743', '1743-02-21'
'sunday march 14 1655', '1655-03-14'
'23 november 1968', '1968-11-23'
'sep 30 2042', '2042-09-30'
'monday 21 january 1552', '1552-01-21'
'july 20 1723', '1723-07-20'
'27 january 2018', '2018-01-27'
'2038 15 august', '2038-08-15'
'4 december 2067', '2067-12-04'
'aug 13 1977', '1977-08-13'
'2055 28 december', '2055-12-28'
'fri 25 jun 1683', '1683-06-25'
'december 15 2008', '2008-12-15'
'tue 1 jul 1575', '1575-07-01'
'1789 26 october', '1789-10-26'
'feb 25 1589', '1589-02-25'
'feb 21 1990', '1990-02-21'
'16 september 1653', '1653-09-16'
'sat 25 oct 1664', '1664-10-25'
'thursday 1882 14 12', '1882-12-14'
'18 august 1563', '1563-08-18'
'november 10 1556', '1556-11-10'
'05/04/1825', '1825-04-05'
'24 march 1977', '1977-03-24'
'august 10 1977', '1977-08-10'
'thu 20 aug 2020', '2020-08-20'
'3/22/70', '1670-03-22'
'1844 21 aug', '1844-08-21'
'2 august 1552', '1552-08-02'
'10/24/51', '1551-10-24'
'apr 16 1663', '1663-04-16'
'monday june 11 1714', '1714-06-11'
'mon 1863 12 january', '1863-01-12'
'23 march 1792', '1792-03-23'
'november 11 1530', '1530-11-11'
'sunday december 15 1568', '1568-12-15'
'november 4 1552', '1552-11-04'
'tuesday june 7 1735', '1735-06-07'
'december 17 1865', '1865-12-17'
'april 28 1652', '1652-04-28'
'sun 2 sep 1900', '1900-09-02'
'august 11 1679', '1679-08-11'
'friday july 13 2012', '2012-07-13'
'6 august 1771', '1771-08-06'
'may 17 1882', '1882-05-17'
'sunday september 11 1774', '1774-09-11'
'friday may 26 2062', '2062-05-26'
'wed 21 may 1941', '1941-05-21'
'nov 17 2045', '2045-11-17'
'sep 14 1885', '1885-09-14'
'8/10/25', '1625-08-10'
'jun 29 1601', '1601-06-29'
'15 july 1641', '1641-07-15'
'thursday july 16 1857', '1857-07-16'
'feb 18 1964', '1964-02-18'
'mar 6 1817', '1817-03-06'
'dec 15 1833', '1833-12-15'
'july 27 1865', '1865-07-27'
'1 february 1830', '1830-02-01'
'24 march 1802', '1802-03-24'
'25/03/1666', '1666-03-25'
'10/31/49', '1849-10-31'
'june 6 1696', '1696-06-06'
'1788 25 february', '1788-02-25'
'12/21/37', '1537-12-21'
'january 23 1686', '1686-01-23'
'8 april 2028', '2028-04-08'
'sep 11 1856', '1856-09-11'
'4 december 1596', '1596-12-04'
'monday 1914 3 08', '1914-08-03'
'wednesday october 13 1655', '1655-10-13'
'april 19 1827', '1827-04-19'
'nov 24 1843', '1843-11-24'
'wednesday march 17 1700', '1700-03-17'
'monday july 21 1530', '1530-07-21'
'oct 10 2059', '2059-10-10'
'1882 31 jan', '1882-01-31'
'march 9 1769', '1769-03-09'
'2 december 1528', '1528-12-02'
'july 16 1601', '1601-07-16'
'2053 6 january', '2053-01-06'
'8/30/01', '1601-08-30'
'sat 28 may 1729', '1729-05-28'
'june 8 1693', '1693-06-08'
'1671 15 mar', '1671-03-15'
'tue 1731 6 march', '1731-03-06'
'apr 1 1793', '1793-04-01'
'sunday november 23 1670', '1670-11-23'
'december 19 2044', '2044-12-19'
'october 23 2043', '2043-10-23'
'oct 30 1948', '1948-10-30'
'mon 1737 23 september', '1737-09-23'
'1854 18 september', '1854-09-18'
'1830 16 nov', '1830-11-16'
'9/3/03', '1803-09-03'
'saturday may 13 1972', '1972-05-13'
'february 4 1604', '1604-02-04'
'march 12 1966', '1966-03-12'
'wednesday april 5 1713', '1713-04-05'
'wed 2056 20 december', '2056-12-20'
'june 21 1904', '1904-06-21'
'sat 12 aug 1628', '1628-08-12'
'1917 24 jun', '1917-06-24'
'october 7 1874', '1874-10-07'
'1925 25 september', '1925-09-25'
'july 1 2059', '2059-07-01'
'08/11/1877', '1877-11-08'
'dec 13 1689', '1689-12-13'
'sat 1531 24 october', '1531-10-24'
'28 november 1693', '1693-11-28'
'15 november 1848', '1848-11-15'
'2032 5 february', '2032-02-05'
'fri 15 nov 2047', '2047-11-15'
'may 16 1675', '1675-05-16'
'16/05/1548', '1548-05-16'
'fri 12 sep 1851', '1851-09-12'
'december 12 1531', '1531-12-12'
'1684 26 oct', '1684-10-26'
'dec 6 2015', '2015-12-06'
'mar 30 1604', '1604-03-30'
'sat 1692 12 january', '1692-01-12'
'thursday july 25 1715', '1715-07-25'
'july 4 1540', '1540-07-04'
'apr 2 1602', '1602-04-02'
'fri 14 jan 1566', '1566-01-14'
'apr 17 1624', '1624-04-17'
'monday 2036 8 12', '2036-12-08'
'april 24 1998', '1998-04-24'
'18/07/1696', '1696-07-18'
'august 5 2011', '2011-08-05'
'wednesday 2033 28 12', '2033-12-28'
'nov 6 1826', '1826-11-06'
'4 sep 1909', '1909-09-04'
'18 august 2008', '2008-08-18'
'29 june 1792', '1792-06-29'
'sat 11 mar 1690', '1690-03-11'
'17 july 1852', '1852-07-17'
'17 april 1546', '1546-04-17'
'wed 1757 12 october', '1757-10-12'
'25 august 1916', '1916-08-25'
'8 october 1972', '1972-10-08'
'14/11/1554', '1554-11-14'
'wed 12 oct 1667', '1667-10-12'
'24/08/2070', '2070-08-24'
'monday january 23 1617', '1617-01-23'
'10/22/44', '1544-10-22'
'september 12 1787', '1787-09-12'
'4 dec 1598', '1598-12-04'
'monday october 22 1556', '1556-10-22'
'1707 25 march', '1707-03-25'
'august 11 1870', '1870-08-11'
'dec 8 1774', '1774-12-08'
'mar 6 1560', '1560-03-06'
'march 13 1889', '1889-03-13'
'sunday 25 july 1869', '1869-07-25'
'3/5/91', '1691-03-05'
'tuesday july 29 1575', '1575-07-29'
'mar 25 1802', '1802-03-25'
'2 april 1799', '1799-04-02'
'apr 28 1911', '1911-04-28'
'thursday 1653 4 09', '1653-09-04'
'april 1 1954', '1954-04-01'
'monday 1991 1 07', '1991-07-01'
'28 july 1964', '1964-07-28'
'fri 1760 1 august', '1760-08-01'
'fri 1685 5 october', '1685-10-05'
'nov 12 1527', '1527-11-12'
'6 december 1671', '1671-12-06'
'apr 30 1540', '1540-04-30'
'16 march 1869', '1869-03-16'
'december 29 1585', '1585-12-29'
'november 6 1823', '1823-11-06'
'august 17 1774', '1774-08-17'
'october 22 1845', '1845-10-22'
'december 3 2070', '2070-12-03'
'may 7 1903', '1903-05-07'
'fri 10 oct 1586', '1586-10-10'
'11 february 1992', '1992-02-11'
'16 june 1606', '1606-06-16'
'1780 4 jul', '1780-07-04'
'apr 26 1756', '1756-04-26'
'january 14 1885', '1885-01-14'
'6 march 1940', '1940-03-06'
'dec 24 2058', '2058-12-24'
'sat 12 dec 1750', '1750-12-12'
'september 23 1994', '1994-09-23'
'monday may 28 1556', '1556-05-28'
'jul 23 1804', '1804-07-23'
'sep 21 1603', '1603-09-21'
'saturday 19 june 1920', '1920-06-19'
'1 may 1704', '1704-05-01'
'friday 1956 6 01', '1956-01-06'
'13 january 1734', '1734-01-13'
'apr 5 2008', '2008-04-05'
'22 february 1571', '1571-02-22'
'1952 27 june', '1952-06-27'
'apr 7 1545', '1545-04-07'
'july 26 1817', '1817-07-26'
'sunday 1989 26 11', '1989-11-26'
'oct 3 1976', '1976-10-03'
'8 april 1585', '1585-04-08'
'friday 5 april 1737', '1737-04-05'
'1963 19 march', '1963-03-19'
'20 may 1916', '1916-05-20'
'march 26 1860', '1860-03-26'
'1544 23 dec', '1544-12-23'
'tuesday april 13 2021', '2021-04-13'
'16 may 1549', '1549-05-16'
'1/26/27', '1627-01-26'
'1573 11 may', '1573-05-11'
'20 may 1757', '1757-05-20'
'august 22 1651', '1651-08-22'
'april 25 2056', '2056-04-25'
'20/10/1975', '1975-10-20'
'wednesday february 13 1664', '1664-02-13'
'7/5/68', '1768-07-05'
'26 october 1542', '1542-10-26'
'december 27 1708', '1708-12-27'
'mar 9 1625', '1625-03-09'
'23 february 1699', '1699-02-23'
'10 december 1806', '1806-12-10'
'12/24/41', '2041-12-24'
'sunday september 4 1864', '1864-09-04'
'24 december 1734', '1734-12-24'
'12 sep 1980', '1980-09-12'
'mon 1895 25 november', '1895-11-25'
'january 19 1860', '1860-01-19'
'16 january 1697', '1697-01-16'
'wednesday august 26 1818', '1818-08-26'
'14 may 1822', '1822-05-14'
'fri 1526 14 may', '1526-05-14'
'monday october 6 1575', '1575-10-06'
'june 4 1788', '1788-06-04'
'thursday february 19 1959', '1959-02-19'
'june 23 2048', '2048-06-23'
'sunday june 30 1715', '1715-06-30'
'friday june 19 1671', '1671-06-19'
'wednesday january 30 1529', '1529-01-30'
'1592 4 december', '1592-12-04'
'september 9 1830', '1830-09-09'
'tue 8 sep 1626', '1626-09-08'
'thursday 1563 6 06', '1563-06-06'
'may 22 1679', '1679-05-22'
'friday 5 july 1844', '1844-07-05'
'26 dec 1690', '1690-12-26'
'december 13 1637', '1637-12-13'
'thu 15 oct 1553', '1553-10-15'
'jul 17 1817', '1817-07-17'
'28 december 1870', '1870-12-28'
'24 february 1776', '1776-02-24'
'1585 18 may', '1585-05-18'
'15 october 1592', '1592-10-15'
'30 january 2050', '2050-01-30'
'14 july 1636', '1636-07-14'
'1775 7 february', '1775-02-07'
'december 23 1650', '1650-12-23'
'sunday december 17 1747', '1747-12-17'
'may 20 1737', '1737-05-20'
'november 2 1742', '1742-11-02'
'friday may 18 1928', '1928-05-18'
'1 december 1874', '1874-12-01'
'28 june 1767', '1767-06-28'
'jul 17 1839', '1839-07-17'
'monday 1950 1 05', '1950-05-01'
'may 10 2066', '2066-05-10'
'1538 5 june', '1538-06-05'
'16 february 1718', '1718-02-16'
'october 7 1610', '1610-10-07'
'friday may 19 1978', '1978-05-19'
'8 july 1772', '1772-07-08'
'thursday december 19 2058', '2058-12-19'
'sunday march 23 2014', '2014-03-23'
'23 may 1658', '1658-05-23'
'saturday 1828 12 01', '1828-01-12'
'march 20 1534', '1534-03-20'
'15 september 1792', '1792-09-15'
'27 may 1893', '1893-05-27'
'jun 9 1893', '1893-06-09'
'february 27 1632', '1632-02-27'
'may 18 1671', '1671-05-18'
'18 august 1606', '1606-08-18'
'oct 22 2022', '2022-10-22'
'may 26 1749', '1749-05-26'
'1918 20 may', '1918-05-20'
'20 september 1665', '1665-09-20'
'november 28 1946', '1946-11-28'
'january 4 1944', '1944-01-04'
'27 march 2025', '2025-03-27'
'21 august 2039', '2039-08-21'
'12 august 2018', '2018-08-12'
'wednesday 1772 2 12', '1772-12-02'
'13 august 2070', '2070-08-13'
'1878 6 may', '1878-05-06'
'december 4 1862', '1862-12-04'
'friday november 20 1846', '1846-11-20'
'jun 24 1811', '1811-06-24'
'1586 9 aug', '1586-08-09'
'10/03/1703', '1703-03-10'
'saturday august 17 1535', '1535-08-17'
'december 11 1640', '1640-12-11'
'july 13 1563', '1563-07-13'
'1/24/17', '1717-01-24'
'february 2 1968', '1968-02-02'
'1671 15 december', '1671-12-15'
'jul 6 1998', '1998-07-06'
'september 20 1932', '1932-09-20'
'1792 20 july', '1792-07-20'
'may 25 1743', '1743-05-25'
'october 16 1783', '1783-10-16'
'5 december 1564', '1564-12-05'
'monday 12 july 1971', '1971-07-12'
'friday 2063 14 09', '2063-09-14'
'1576 24 september', '1576-09-24'
'6 mar 1595', '1595-03-06'
'july 23 1594', '1594-07-23'
'12 august 2016', '2016-08-12'
'23 march 1737', '1737-03-23'
'jul 9 2047', '2047-07-09'
'jan 13 1845', '1845-01-13'
'26 june 1733', '1733-06-26'
'jan 14 1596', '1596-01-14'
'sep 30 1574', '1574-09-30'
'saturday july 16 1853', '1853-07-16'
'1589 17 october', '1589-10-17'
'tue 22 mar 1566', '1566-03-22'
'may 13 1662', '1662-05-13'
'friday 13 november 1682', '1682-11-13'
'sunday january 16 1859', '1859-01-16'
'2 april 1866', '1866-04-02'
'4/22/27', '1827-04-22'
'19 march 1553', '1553-03-19'
'15 january 1628', '1628-01-15'
'monday 26 june 1815', '1815-06-26'
'november 16 1911', '1911-11-16'
'thursday 7 july 1825', '1825-07-07'
'sunday 6 july 1766', '1766-07-06'
'sep 28 2000', '2000-09-28'
'wednesday june 30 1537', '1537-06-30'
'april 26 1727', '1727-04-26'
'1967 16 august', '1967-08-16'
'monday january 19 1548', '1548-01-19'
'28 september 1540', '1540-09-28'
'october 3 1833', '1833-10-03'
'27 september 1788', '1788-09-27'
'sunday 21 october 1685', '1685-10-21'
'sat 1778 17 january', '1778-01-17'
'march 22 2040', '2040-03-22'
'may 27 1665', '1665-05-27'
'aug 31 2065', '2065-08-31'
'oct 6 1950', '1950-10-06'
'apr 4 2046', '2046-04-04'
'11/01/1713', '1713-01-11'
'tue 1653 16 december', '1653-12-16'
'july 8 1979', '1979-07-08'
'may 15 1807', '1807-05-15'
'20 may 1984', '1984-05-20'
'oct 29 1581', '1581-10-29'
'thursday november 21 1811', '1811-11-21'
'aug 9 1558', '1558-08-09'
'aug 17 1633', '1633-08-17'
'december 30 1982', '1982-12-30'
'7 nov 1828', '1828-11-07'
'sunday june 19 1701', '1701-06-19'
'nov 19 2059', '2059-11-19'
'march 29 1578', '1578-03-29'
'sun 1815 22 october', '1815-10-22'
'fri 2047 24 may', '2047-05-24'
'thursday january 20 1594', '1594-01-20'
'2030 1 dec', '2030-12-01'
'nov 29 1615', '1615-11-29'
'march 24 1803', '1803-03-24'
'november 20 1861', '1861-11-20'
'mar 9 1556', '1556-03-09'
'5/6/18', '1718-05-06'
'05/11/1847', '1847-11-05'
'november 25 2064', '2064-11-25'
'apr 11 2015', '2015-04-11'
'20 april 1574', '1574-04-20'
'sunday 12 december 1554', '1554-12-12'
'friday december 21 1900', '1900-12-21'
'8 may 1661', '1661-05-08'
'16 aug 1961', '1961-08-16'
'monday 1627 8 11', '1627-11-08'
'1797 8 jun', '1797-06-08'
'december 11 1554', '1554-12-11'
'october 7 1841', '1841-10-07'
'mon 1580 8 december', '1580-12-08'
'7 september 1583', '1583-09-07'
'23 october 1992', '1992-10-23'
'december 18 1958', '1958-12-18'
'tuesday august 3 1897', '1897-08-03'
'16 august 1573', '1573-08-16'
'july 28 1595', '1595-07-28'
'1844 25 jan', '1844-01-25'
'02/03/1916', '1916-03-02'
'24 january 1854', '1854-01-24'
'2 december 1786', '1786-12-02'
'mon 6 may 1805', '1805-05-06'
'may 7 1849', '1849-05-07'
'29/08/2030', '2030-08-29'
'21 november 1783', '1783-11-21'
'sunday october 23 1881', '1881-10-23'
'august 9 1994', '1994-08-09'
'20/04/1673', '1673-04-20'
'dec 16 1846', '1846-12-16'
'dec 24 2007', '2007-12-24'
'mar 17 1553', '1553-03-17'
'1558 2 apr', '1558-04-02'
'3 may 1610', '1610-05-03'
'2/4/56', '1756-02-04'
'05/07/1849', '1849-07-05'
'monday june 17 1974', '1974-06-17'
'dec 12 1905', '1905-12-12'
'may 28 1839', '1839-05-28'
'mar 11 1868', '1868-03-11'
'oct 19 1850', '1850-10-19'
'1804 14 july', '1804-07-14'
'03/09/2065', '2065-09-03'
'february 11 1998', '1998-02-11'
'february 22 1782', '1782-02-22'
'sep 16 1920', '1920-09-16'
'16 jul 1908', '1908-07-16'
'february 28 1577', '1577-02-28'
'monday 8 december 1902', '1902-12-08'
'sun 1846 1 february', '1846-02-01'
'fri 15 jul 1983', '1983-07-15'
'thu 5 apr 1528', '1528-04-05'
'16 february 1770', '1770-02-16'
'oct 1 1892', '1892-10-01'
'1855 11 june', '1855-06-11'
'1954 30 mar', '1954-03-30'
'26 oct 1853', '1853-10-26'
'sunday april 27 1800', '1800-04-27'
'thursday 1587 1 10', '1587-10-01'
'dec 19 1816', '1816-12-19'
'16 july 1815', '1815-07-16'
'saturday january 13 1635', '1635-01-13'
'1873 11 november', '1873-11-11'
'friday march 5 1677', '1677-03-05'
'february 16 1868', '1868-02-16'
'august 27 1927', '1927-08-27'
'11 june 1883', '1883-06-11'
'january 10 1729', '1729-01-10'
'3 march 1643', '1643-03-03'
'aug 10 1623', '1623-08-10'
'7 march 1921', '1921-03-07'
'6 september 1816', '1816-09-06'
'jul 12 1954', '1954-07-12'
'thursday january 9 1873', '1873-01-09'
'nov 23 1777', '1777-11-23'
'tue 22 mar 2005', '2005-03-22'
'jan 25 1566', '1566-01-25'
'1617 6 mar', '1617-03-06'
'wednesday 1658 11 09', '1658-09-11'
'tuesday february 10 1778', '1778-02-10'
'1934 18 mar', '1934-03-18'
'sunday 1716 19 01', '1716-01-19'
'3 august 1886', '1886-08-03'
'1802 7 august', '1802-08-07'
'dec 13 1784', '1784-12-13'
'saturday 1715 12 10', '1715-10-12'
'friday 13 april 1798', '1798-04-13'
'saturday 1880 21 08', '1880-08-21'
'august 29 1675', '1675-08-29'
'august 5 1886', '1886-08-05'
'1891 27 mar', '1891-03-27'
'july 12 1722', '1722-07-12'
'november 25 1893', '1893-11-25'
'26/06/1707', '1707-06-26'
'wed 16 dec 1587', '1587-12-16'
'july 29 1637', '1637-07-29'
'april 22 1563', '1563-04-22'
'1/31/14', '2014-01-31'
'11 may 1577', '1577-05-11'
'friday september 14 2057', '2057-09-14'
'sunday september 28 1738', '1738-09-28'
'5 october 1980', '1980-10-05'
'may 11 1828', '1828-05-11'
'1768 9 dec', '1768-12-09'
'jul 13 1590', '1590-07-13'
'march 9 2050', '2050-03-09'
'1528 29 aug', '1528-08-29'
'1905 30 oct', '1905-10-30'
'sunday february 13 1527', '1527-02-13'
'10 august 1844', '1844-08-10'
'january 6 2043', '2043-01-06'
'2 may 1674', '1674-05-02'
'june 1 1879', '1879-06-01'
'27 february 1895', '1895-02-27'
'wed 26 jun 1799', '1799-06-26'
'oct 15 1886', '1886-10-15'
'november 14 1691', '1691-11-14'
'27 september 1571', '1571-09-27'
'6 august 1731', '1731-08-06'
'1573 29 october', '1573-10-29'
'saturday 1930 22 03', '1930-03-22'
'thursday april 5 1657', '1657-04-05'
'saturday january 17 1632', '1632-01-17'
'22 july 2044', '2044-07-22'
'7/14/98', '1598-07-14'
'friday october 18 1918', '1918-10-18'
'31 august 2030', '2030-08-31'
'1969 13 sep', '1969-09-13'
'30 december 1936', '1935-12-30'
'2 november 1801', '1801-11-02'
'december 28 1974', '1974-12-28'
'5 september 1811', '1811-09-05'
'18 january 1763', '1763-01-18'
'wed 2024 29 may', '2024-05-29'
'26 october 2007', '2007-10-26'
'september 23 1972', '1972-09-23'
'30 january 1666', '1666-01-30'
'jul 14 1854', '1854-07-14'
'30 nov 1916', '1916-11-30'
'sat 24 aug 1726', '1726-08-24'
'sunday december 4 1836', '1836-12-04'
'november 5 1900', '1900-11-05'
'friday 1 january 1772', '1773-01-01'
'13 june 1570', '1570-06-13'
'jun 8 1539', '1539-06-08'
'24 april 1906', '1906-04-24'
'18 september 1851', '1851-09-18'
'mar 25 1616', '1616-03-25'
'nov 30 1940', '1940-11-30'
'friday november 12 1897', '1897-11-12'
'september 22 1703', '1703-09-22'
'april 26 1790', '1790-04-26'
'april 22 1547', '1547-04-22'
'friday july 29 1555', '1555-07-29'
'wednesday december 16 1835', '1835-12-16'
'oct 2 1859', '1859-10-02'
'29/11/1658', '1658-11-29'
'saturday 1873 6 12', '1873-12-06'
'24/10/1595', '1595-10-24'
'saturday 2052 21 12', '2052-12-21'
'thursday january 5 1634', '1634-01-05'
'28 january 1732', '1732-01-28'
'friday september 13 1641', '1641-09-13'
'03/12/2056', '2056-12-03'
'28 june 1661', '1661-06-28'
'jun 29 1881', '1881-06-29'
'apr 14 1912', '1912-04-14'
'saturday february 7 2071', '2071-02-07'
'july 30 1737', '1737-07-30'
'thursday 1931 26 02', '1931-02-26'
'05/02/1971', '1971-02-05'
'may 23 1855', '1855-05-23'
'14/01/1960', '1960-01-14'
'1924 10 april', '1924-04-10'
'feb 19 1706', '1706-02-19'
'august 28 1725', '1725-08-28'
'sep 5 1619', '1619-09-05'
'fri 5 feb 1745', '1745-02-05'
'sunday november 24 1697', '1697-11-24'
'5 apr 2064', '2064-04-05'
'wednesday august 12 1908', '1908-08-12'
'26 september 1833', '1833-09-26'
'aug 6 1773', '1773-08-06'
'jan 21 2023', '2023-01-21'
'3/1/58', '1958-03-01'
'2014 13 mar', '2014-03-13'
'1837 13 oct', '1837-10-13'
'tuesday september 12 2034', '2034-09-12'
'aug 4 1563', '1563-08-04'
'wednesday march 30 1870', '1870-03-30'
'march 11 2025', '2025-03-11'
'aug 30 2020', '2020-08-30'
'25 november 1673', '1673-11-25'
'october 10 1903', '1903-10-10'
'august 6 1965', '1965-08-06'
'september 23 1844', '1844-09-23'
'july 29 1609', '1609-07-29'
'january 11 1579', '1579-01-11'
'1657 29 nov', '1657-11-29'
'october 14 1729', '1729-10-14'
'july 31 1541', '1541-07-31'
'june 6 1545', '1545-06-06'
'february 15 1570', '1570-02-15'
'19 september 1722', '1722-09-19'
'9 january 1809', '1809-01-09'
'6 jul 1992', '1992-07-06'
'29/08/1849', '1849-08-29'
'1/14/73', '1873-01-14'
'tue 1619 1 october', '1619-10-01'
'27 october 1891', '1891-10-27'
'monday july 11 1718', '1718-07-11'
'sat 1 sep 1646', '1646-09-01'
'december 14 1756', '1756-12-14'
'24 august 1662', '1662-08-24'
'july 6 1570', '1570-07-06'
'sun 22 may 2005', '2005-05-22'
'monday 2020 28 09', '2020-09-28'
'1/10/43', '1543-01-10'
'4 december 1936', '1936-12-04'
'thursday 16 october 1941', '1941-10-16'
'28 may 2030', '2030-05-28'
'wednesday 7 february 1912', '1912-02-07'
'apr 8 1872', '1872-04-08'
'1813 29 april', '1813-04-29'
'1664 1 december', '1664-12-01'
'aug 1 1573', '1573-08-01'
'october 16 1762', '1762-10-16'
'1600 25 june', '1600-06-25'
'june 27 1730', '1730-06-27'
'tuesday 26 july 1532', '1532-07-26'
'friday january 20 1882', '1882-01-20'
'january 22 1589', '1589-01-22'
'march 6 1537', '1537-03-06'
'8 june 1841', '1841-06-08'
'sat 20 feb 1943', '1943-02-20'
'july 12 1615', '1615-07-12'
'february 5 1673', '1673-02-05'
'monday october 6 1631', '1631-10-06'
'25 february 1817', '1817-02-25'
'3 may 1928', '1928-05-03'
'wednesday 30 june 1909', '1909-06-30'
'aug 24 1711', '1711-08-24'
'sep 2 2006', '2006-09-02'
'friday july 8 1549', '1549-07-08'
'1658 7 july', '1658-07-07'
'23 september 1939', '1939-09-23'
'tuesday 1590 13 02', '1590-02-13'
'1954 21 jun', '1954-06-21'
'friday 18 november 1701', '1701-11-18'
'19/08/1531', '1531-08-19'
'12 december 1530', '1530-12-12'
